OID,PID
90,473
90,2811
90,2811
90,2811
91,3851
91,3851
91,3851
91,2863
91,2863
91,2863
91,2798
91,2798
91,2798
91,1656
91,1656
91,1656
92,189
92,189
92,3701
92,3701
92,1152
92,1152
92,1152
92,1288
92,1288
92,3585
93,255
93,255
93,255
93,3832
93,3832
93,3832
94,95
94,95
94,95
94,2212
95,221
95,221
95,221
95,1383
95,1383
95,1383
95,1945
96,3623
96,3623
96,2164
96,2164
96,2164
96,1799
96,187
96,187
96,187
96,1350
96,1350
97,407
97,407
98,2071
98,2071
99,1545
99,1545
99,1545
99,1986
99,1986
100,3245
100,3245
100,3245
100,3040
100,3040
101,1018
101,1018
101,1018
102,3158
102,3158
102,3158
102,3541
102,3541
102,3247
102,3247
102,3247
102,1701
102,1701
102,1701
102,2750
102,2750
103,1325
103,1325
103,1325
103,3023
103,1269
104,1781
104,1781
104,3787
104,991
104,2358
104,3883
105,1176
105,1107
105,1107
105,1107
105,1705
105,1262
106,2639
106,2639
106,3013
106,3013
106,3013
106,210
106,210
106,210
106,1943
106,1943
106,3546
107,3328
107,3328
107,3328
107,3345
107,3043
107,3043
107,3043
108,1357
108,1357
108,1357
108,2278
108,2278
109,3309
109,3309
109,3309
109,423
109,423
109,4006
109,4006
109,3883
109,3883
109,3883
110,3092
110,3092
111,3281
111,3281
111,3281
111,961
111,961
111,961
111,2485
112,3895
112,3895
112,3895
113,617
113,933
113,933
113,933
113,1339
113,1339
113,1339
113,3719
113,3719
113,3719
114,2414
114,2414
114,3593
114,3593
114,3593
114,2424
114,2424
114,2424
114,3202
114,3202
115,2323
115,2323
115,2279
115,2279
115,2279
115,3190
115,3190
115,3190
115,975
115,975
115,2118
115,2118
116,256
116,2871
116,2871
116,488
116,488
116,3724
116,3724
116,1841
116,1841
117,2987
117,2987
117,2987
117,305
117,34
117,34
117,1161
117,1161
117,1161
118,98
118,98
118,3702
118,159
118,159
118,159
119,54
120,2843
120,2843
120,2975
120,2975
120,2975
120,21
120,21
120,3246
120,3246
120,3246
120,2713
120,2713
120,2713
121,1016
121,3125
121,3125
121,3125
121,3510
121,2645
121,2645
121,2645
122,2243
122,2593
122,2593
122,2593
122,3983
122,3155
122,3155
123,2705
123,2705
123,138
123,1561
123,3610
123,669
123,669
123,669
124,1057
124,1057
124,1057
124,1759
124,1759
124,1759
125,955
125,955
125,955
126,1653
126,1653
126,1653
126,2652
126,2652
126,2652
126,2964
126,2964
127,948
127,948
127,3640
127,3569
127,3569
127,3569
128,3113
128,1366
128,1366
128,1366
129,3974
130,2123
130,1293
130,424
130,424
130,1301
130,1301
131,247
131,2246
131,2246
131,1615
132,2396
132,2396
132,2396
132,724
132,3192
132,3192
132,3192
132,2609
132,2609
133,305
133,305
133,305
133,718
133,718
133,718
133,4008
133,4008
133,2641
133,2641
133,2641
134,2475
134,2475
134,2475
134,1375
134,1375
134,1375
134,3786
135,312
135,312
136,1486
136,480
136,2361
136,2361
136,2361
136,1128
136,1128
136,1128
136,523
136,523
137,2226
137,2226
137,2226
137,411
138,2025
138,2025
138,42
138,42
138,42
138,628
138,3995
138,3995
138,3995
138,2742
138,2742
139,1091
139,1422
139,3613
140,1436
141,1505
141,1505
142,1217
142,1217
142,464
142,464
142,464
142,2255
142,2255
142,186
142,186
142,186
143,3581
143,3581
143,3581
143,4015
143,4015
143,4015
143,205
143,3431
143,3431
143,661
143,661
143,661
144,1127
144,2602
144,2602
144,3007
145,3500
145,1677
145,1677
146,3498
146,459
146,700
147,834
147,834
147,834
147,3655
147,3655
147,2345
148,2892
148,2892
148,2892
148,1080
148,1080
149,1510
149,940
150,2372
150,2372
150,1537
150,2497
150,2497
150,1707
151,2580
152,1303
152,1303
152,1302
152,1302
152,1302
152,3586
152,3586
152,3586
152,473
152,473
152,473
153,2901
153,2901
153,2901
154,3625
154,3625
154,2681
154,2681
154,69
154,69
154,69
155,2329
155,2329
155,2329
155,68
155,68
155,317
155,317
155,317
155,2247
155,2247
155,2247
156,1544
156,1544
156,1925
156,1925
156,2004
156,1026
156,1026
156,176
156,176
157,545
157,545
157,545
157,87
157,87
157,87
157,1195
157,1195
157,1195
158,1934
158,1934
158,1516
158,1516
158,1516
158,3964
158,3964
158,3964
158,1839
159,520
159,520
160,790
160,790
160,790
160,1856
160,1856
160,1691
160,1691
160,1857
160,2140
160,2140
160,2140
161,1590
161,1590
161,1590
161,2380
161,2670
161,2670
161,1992
162,1903
162,3280
162,3280
162,3280
162,504
162,504
163,1117
163,3346
164,2531
164,2531
164,2531
164,3185
164,3109
164,1127
164,2912
164,2912
164,2912
165,1037
165,1037
165,1270
165,1270
166,440
166,440
166,440
167,2136
167,2136
167,6
167,6
168,3262
168,3262
168,3262
168,2012
168,2886
168,2545
168,2545
168,2545
168,3708
169,1267
169,1267
169,3406
169,775
169,775
169,775
170,803
171,1073
171,1073
171,1073
171,3901
171,1507
171,1507
171,1507
171,2804
171,3115
172,2632
172,2632
172,2632
172,1510
172,1510
172,145
173,416
173,416
173,416
173,1467
173,2064
173,2064
174,3592
174,3592
174,3592
174,3195
174,3195
175,3860
175,3860
175,3860
175,2447
175,2447
176,488
176,488
176,3272
176,3084
176,3084
176,3084
176,609
176,609
176,2380
176,2380
176,2380
177,2513
177,2513
177,1980
177,1980
177,1498
177,1498
177,2955
177,2955
177,2955
177,2000
177,2000
178,2198
178,1210
178,1210
178,387
178,387
178,387
178,2140
179,521
180,3369
180,3369
180,3369
180,37
180,37
180,37
181,2885
181,2885
181,2885
181,2945
182,775
182,3930
182,3930
182,3930
182,2909
182,3538
182,3538
182,3538
182,3654
182,3654
182,3654
183,1168
183,1168
183,1168
183,1403
183,3840
183,3840
183,3840
184,2868
184,2008
184,2008
184,2008
184,2183
185,3629
185,1793
186,9
186,9
186,9
186,2594
186,2594
186,2594
186,3571
186,3571
186,1795
186,1795
186,1795
186,426
186,426
187,926
187,926
187,926
188,1032
188,1032
188,1032
188,1742
188,1359
188,1359
188,1359
188,1213
188,1213
188,1072
189,1683
189,1683
189,1683
189,479
189,3437
189,3437
190,3714
191,3236
191,3236
191,880
191,1934
191,1934
191,1934
191,2973
191,2973
191,552
191,552
191,552
192,3170
192,3170
192,1705
192,1705
192,1705
192,334
192,334
192,334
192,425
192,425
192,571
193,1800
193,1800
193,1800
193,1001
193,1001
193,1001
194,468
194,468
195,2273
196,1081
196,1081
196,1081
196,1634
196,1064
196,1064
196,1064
196,2408
197,1566
197,1566
197,1566
197,2024
197,2024
197,854
197,854
197,1878
197,1878
197,1878
198,1230
198,1230
198,2353
198,2353
198,2353
199,3800
199,3800
199,779
200,918
200,918
200,771
200,1606
200,1606
201,3529
201,674
201,674
201,674
201,3422
201,1701
201,1701
202,287
202,287
202,287
202,1491
203,2303
203,2303
203,2303
203,1375
203,1375
203,1780
203,2077
203,2665
204,3189
204,3189
204,1123
204,1123
204,2261
204,435
204,435
204,435
204,3445
205,2940
205,2940
205,2940
205,2732
205,1317
205,1317
205,1317
205,76
206,198
206,198
207,1435
207,1435
207,3605
207,3605
207,3605
207,4008
207,4008
207,4008
207,2608
207,2608
207,2608
207,2652
207,2652
207,2652
208,2483
208,2513
208,2513
208,2513
208,2576
208,2576
208,1265
208,1265
208,3799
209,1270
209,1270
209,2657
209,2657
209,2657
209,559
209,559
209,559
209,3470
209,1774
210,736
210,736
210,736
210,3586
210,3586
210,3586
210,2333
210,2333
210,2333
210,3261
210,3261
210,3606
210,3606
211,3852
211,3852
211,3555
211,3555
212,2215
212,2215
212,2215
213,3603
213,3603
213,1131
213,1131
213,1131
214,2197
214,2197
214,2380
214,3185
215,1311
215,1480
216,1109
216,1055
217,2497
217,3107
217,3107
217,3107
217,391
217,2653
217,2653
218,1012
218,1012
218,2815
218,2815
218,2766
218,2766
219,828
219,828
219,2447
219,3576
219,131
219,131
219,131
219,3576
219,3576
219,3576
220,2802
220,801
220,801
220,2374
221,2390
221,2390
221,3421
221,3421
221,3421
221,3373
221,3373
221,3373
221,1061
222,1489
222,1489
222,1489
223,3217
223,3217
223,3217
223,580
223,580
223,2224
223,2224
223,2737
223,2737
224,2479
224,2479
224,2479
224,2674
225,350
225,1784
225,1784
225,1784
226,1447
226,1447
226,1447
226,289
226,289
226,1637
226,1637
226,1637
226,3735
226,3735
226,3735
227,2759
227,3507
227,3507
228,3218
228,3218
229,2281
229,2281
229,3955
229,3751
229,3751
229,3873
230,3772
230,2647
230,1803
230,1803
230,1803
231,70
231,70
231,70
231,1632
231,3770
231,3770
231,3510
232,1503
232,1503
232,2655
232,2655
232,2257
232,2257
232,2257
233,3823
233,397
233,1356
233,3378
233,3378
233,3650
233,3650
233,3650
234,3513
234,3513
234,3416
234,3416
234,129
234,932
235,626
235,626
235,626
236,3087
236,2323
236,518
236,327
236,327
236,2509
236,2509
237,2967
238,3966
238,3966
238,3966
238,3287
238,3287
238,3287
238,2050
238,2050
238,2225
239,1435
239,1435
240,2758
240,2758
240,2758
241,3679
241,3679
241,3679
242,2247
242,2247
243,446
243,3058
244,1634
244,1634
244,1634
244,2161
244,2161
244,494
244,494
244,494
244,1018
244,1018
244,1018
244,3486
244,3486
245,3935
245,3935
245,3935
245,1470
245,1470
246,3888
246,3888
246,3888
247,3939
248,2753
248,2753
248,2753
248,859
248,859
248,3453
248,3453
248,3012
248,283
248,283
248,283
249,3847
249,2715
249,2715
249,357
249,357
249,357
250,1153
250,1153
250,1153
250,3290
250,2307
250,2307
250,2307
251,2149
251,2149
251,12
251,806
251,806
251,806
252,25
252,25
252,25
252,1868
252,1868
252,1868
252,1860
252,3363
252,3363
252,3363
253,917
253,629
253,756
253,756
253,756
253,2483
254,2555
254,2555
254,2555
254,476
255,809
255,71
255,2778
255,3739
255,3739
255,3739
256,3757
256,3757
256,2214
256,3998
256,3998
256,3052
257,2005
257,2005
257,2632
257,2632
257,3357
257,328
257,328
257,999
257,999
258,896
258,896
258,1903
258,1903
258,1903
258,31
258,31
259,789
259,789
259,935
259,935
259,1369
259,1369
259,1369
259,1815
260,2389
260,2389
260,84
260,84
260,84
260,699
260,699
260,999
261,2517
261,2517
261,3618
262,2861
262,2861
262,15
262,15
262,15
263,885
263,885
263,1576
263,1576
264,3194
265,242
265,242
265,3154
265,3326
265,3326
265,3326
265,690
265,690
265,3877
266,1951
266,1951
266,520
266,520
266,520
266,166
266,166
266,166
266,549
267,3403
267,3403
267,3403
267,2102
267,2102
268,3987
268,3987
269,58
269,58
269,58
269,2484
269,2484
269,1841
269,1841
269,1740
269,1740
269,1740
270,2260
270,2260
270,2260
270,496
270,496
271,806
271,2800
271,1282
271,1282
271,1799
271,1799
271,1559
272,1795
272,1795
272,1795
272,2117
272,2117
273,1771
273,1987
273,1987
274,3277
274,3277
274,3277
274,797
275,3469
275,3469
275,3469
275,3097
275,1126
275,1126
275,1126
276,3677
276,3677
276,2918
276,2918
276,2918
277,408
277,408
277,408
277,2017
277,964
277,964
277,964
277,1825
277,912
278,3598
278,3598
278,3598
278,1710
278,1710
278,1710
278,2143
278,2143
278,2143
279,988
279,988
279,458
279,458
279,458
279,2003
279,2003
279,2003
279,3701
279,3701
279,3701
280,1190
280,302
280,302
280,302
280,644
280,2121
280,3059
280,3059
281,661
281,661
281,329
282,2606
283,33
283,33
283,3607
283,3229
283,3229
284,3600
284,3600
284,3600
284,2572
284,2084
284,2084
284,1033
284,1033
284,2721
284,2721
284,2721
285,1509
285,1509
285,1509
285,1811
285,1825
285,1825
285,1825
285,2406
285,2555
285,2555
285,2555
286,2662
286,2662
286,2662
286,1298
286,1298
287,200
287,200
287,200
287,459
287,459
287,1784
287,823
287,1396
287,1396
288,1905
288,1905
288,1905
288,48
288,48
288,48
288,3953
289,3748
289,3748
289,2569
289,2569
289,3100
289,2106
289,2106
290,1696
290,1696
290,3253
290,3253
290,3253
291,3724
291,3724
291,3724
291,871
291,2657
292,2355
292,2355
292,2355
292,568
293,1810
293,1810
293,1810
293,1980
294,2800
294,2800
294,1118
294,1118
294,1118
295,3744
295,3744
296,1489
296,2035
296,2035
296,2035
296,1756
296,1756
296,1000
297,2918
297,193
297,193
297,193
297,37
298,905
298,1604
299,837
299,837
299,837
299,941
299,3234
299,3234
300,3853
300,3853
300,3853
301,1624
301,1624
301,1624
301,685
301,685
301,685
302,1898
302,1898
302,580
302,580
303,639
303,639
303,2261
303,2261
303,2261
303,3889
303,3889
304,1610
304,1610
304,1610
304,1257
304,1257
304,529
304,529
304,529
304,2505
304,223
304,223
304,223
305,1365
305,1365
305,1365
305,1474
305,1474
305,1474
306,76
306,3256
306,3256
306,3256
306,375
306,375
306,1236
306,1756
306,1756
307,3311
307,3311
307,3311
307,1681
307,3158
307,3158
308,3067
308,3067
308,3067
308,3716
308,2256
308,2681
308,2681
308,2681
309,2278
309,2278
309,118
309,118
309,587
309,587
310,1843
310,1843
311,818
311,818
311,818
311,2431
311,2872
311,2872
311,2112
311,2112
312,602
312,3141
312,2039
312,2039
312,2427
312,2427
312,2427
312,2759
312,2759
312,2759
313,1528
313,2024
313,2449
314,80
314,1511
314,851
314,851
315,1930
315,1930
315,242
315,242
316,1627
316,1627
316,1613
317,1923
317,2364
317,2364
317,2635
317,2635
317,2635
318,986
318,986
318,986
318,3876
318,3876
318,889
318,2088
318,2088
318,1351
318,1351
319,2990
319,2990
319,2990
319,865
319,865
319,865
319,678
319,678
319,678
320,1554
320,3016
320,3016
320,2787
320,2787
320,588
321,2300
321,1857
321,685
321,2002
321,2002
321,2002
322,1541
322,402
322,2225
322,2713
322,2255
322,2255
323,3014
323,3014
323,2835
323,2835
323,378
323,1058
323,1058
324,1027
324,1027
325,3606
325,3606
326,2966
326,2966
326,2966
326,3626
326,610
326,610
326,3317
327,1844
327,1844
327,2212
327,2212
328,582
328,959
328,2782
328,3078
328,3078
328,3078
329,195
329,3183
329,3183
329,3183
329,1128
329,1128
330,567
330,567
330,736
330,736
330,67
330,67
330,67
331,3137
331,3137
331,2647
331,2647
331,2647
331,3185
331,2878
332,3990
332,3990
332,1517
332,1517
333,1537
334,1106
334,1106
334,1106
334,43
334,3017
334,3017
334,3017
335,3879
335,3879
335,1908
335,1908
335,1908
336,693
336,693
336,1820
336,2075
336,2460
336,3704
336,3704
337,242
337,242
337,242
337,2011
337,426
337,426
338,2391
338,2391
339,1224
339,1224
339,984
339,3480
339,3480
339,2192
339,2192
340,3264
340,938
340,778
340,778
340,2008
340,2008
340,1239
340,1239
340,1239
341,1302
341,1633
341,1633
341,1633
341,1354
341,1354
341,584
341,584
341,1903
341,1903
342,816
342,1318
342,1318
343,774
343,774
343,534
343,534
344,1362
344,1362
345,3693
346,1932
346,1932
346,1932
346,1376
346,512
346,512
346,512
347,3083
347,3083
347,3083
347,277
347,277
348,2850
348,2850
348,2850
349,1194
349,1194
349,1194
349,2061
349,2061
349,1807
349,1807
349,1807
349,2457
350,759
350,759
350,3546
350,1924
350,1924
350,3469
350,3469
350,2145
350,2145
351,727
351,2534
351,2534
352,61
352,61
352,2545
352,2545
352,2545
353,2906
353,2906
353,3638
354,1572
354,1572
354,1572
354,3258
354,1061
355,939
355,939
355,939
355,2339
355,2490
355,2539
355,2539
355,2539
355,3850
355,3850
355,3850
356,2003
356,2003
356,3639
356,3639
357,2746
357,2746
357,512
357,512
358,641
358,1698
358,1698
358,1639
358,1639
358,1639
358,381
358,431
358,431
358,431
359,3031
359,1590
359,1590
359,1590
359,1719
359,1719
360,2983
360,2958
360,1928
360,1928
360,1928
360,1310
360,1310
360,1310
360,3973
360,3973
360,3973
361,1909
361,3881
361,3881
361,577
361,577
362,349
362,349
362,2989
362,2989
362,2259
363,3135
363,3135
363,3135
363,798
363,798
363,798
364,3123
364,3123
364,1145
364,1145
364,1145
364,2342
364,3919
364,3919
364,3919
364,3966
365,2811
366,1242
366,1242
366,84
366,84
367,180
367,43
367,2870
367,2870
367,2870
367,83
367,2883
368,3894
368,1135
368,1360
368,1360
368,1360
368,2234
369,1545
369,1545
369,1545
369,977
369,977
370,1008
370,1008
370,3566
370,3566
370,3566
371,2435
371,2435
371,3989
371,1354
371,1354
372,1449
372,1449
372,1449
372,1760
372,1760
372,1760
372,1257
372,1257
372,1257
372,695
372,695
372,1770
372,1770
373,2186
373,2186
373,2232
373,2232
373,2232
373,1836
373,1836
373,1836
374,392
374,392
374,2828
374,2828
374,2154
374,3787
374,3787
374,3787
374,3320
374,3320
375,204
375,204
375,204
375,1191
376,1872
376,1872
377,2196
377,3526
377,3526
377,3526
378,2518
378,2518
378,2518
378,2008
378,435
378,435
379,3970
379,3970
379,801
379,801
379,801
379,884
379,884
379,1098
379,1098
379,1098
379,1651
380,2156
380,2156
380,2156
380,2013
380,2013
380,2013
380,4003
380,4003
380,4003
380,1363
381,3027
381,3027
381,3027
381,1797
381,2128
381,2128
382,3000
382,3000
382,3369
382,3369
382,3369
383,784
383,784
383,784
383,453
383,453
383,453
383,1883
384,319
384,3311
384,3311
384,3311
384,2584
384,2584
384,2584
384,377
385,131
385,131
385,115
385,2822
385,2822
385,2822
385,3791
385,3791
385,3791
385,3710
385,3710
385,3710
386,1213
386,1213
386,1213
386,6
386,6
386,2578
386,627
386,627
386,3593
387,3862
387,3670
387,3670
387,3867
387,3867
387,3867
387,111
387,111
387,111
388,1720
388,1720
388,1720
388,1214
388,559
388,41
388,41
388,41
388,3850
389,1895
389,1895
389,3833
389,3352
389,3352
389,3352
390,1635
390,1635
390,3240
390,3240
390,2702
390,2702
390,2702
390,7
390,7
390,7
390,6
391,1566
391,1566
391,1566
391,3028
391,3028
391,1402
392,3641
392,3641
392,3387
393,2984
393,1522
393,1522
393,2647
393,2647
393,3750
394,640
394,640
394,640
395,3110
395,3388
395,3388
395,99
395,99
395,1773
395,1773
395,1773
395,3156
395,3156
396,193
396,193
396,193
396,2869
397,2194
397,2618
397,2618
397,1895
397,1895
397,3015
397,3015
397,3015
398,1046
398,3022
398,3022
398,399
398,399
399,485
399,3450
399,3450
399,1155
399,3688
400,1080
400,1080
400,2202
400,2202
401,271
401,271
401,271
401,3953
401,3953
401,1436
401,1436
401,27
401,1217
401,1217
401,1217
402,1959
402,2561
402,1702
402,1702
402,1702
403,1486
403,1486
403,1486
403,1374
403,1374
403,1374
403,1340
404,2077
404,2077
404,2077
404,2209
404,803
404,3193
404,3418
404,3418
405,668
405,668
406,2539
406,2539
407,270
407,270
407,2229
407,2229
407,2229
407,637
407,2969
408,3946
408,1302
408,1911
408,1911
408,3427
408,3427
409,3553
409,3553
409,2325
409,2325
409,2325
410,3298
410,3298
410,3298
410,3829
411,3494
411,3494
411,3494
412,4012
412,4012
412,2160
412,2160
412,2160
412,3745
412,691
412,691
413,3564
413,3564
414,3156
414,1460
414,465
415,1049
416,3887
416,3887
416,3887
416,3111
416,3111
416,1804
416,883
416,883
416,883
417,2859
417,2859
417,2859
417,3453
417,3453
417,3453
417,583
417,583
417,583
417,3342
417,3342
417,3342
418,2982
418,2982
418,1765
418,1765
418,3754
419,1746
419,1746
419,2792
419,2792
419,2792
420,682
421,2035
421,2035
422,2536
422,1807
422,3110
422,1272
422,2572
422,2572
422,2572
423,1369
423,1369
423,2953
423,2953
423,2953
423,2057
423,170
423,3425
424,3955
424,3955
424,3955
425,2702
425,2702
425,279
426,534
426,1082
426,1082
426,1082
427,552
427,552
427,552
427,2889
427,2889
427,3043
427,3043
427,2243
427,2243
427,2243
427,1974
427,1974
428,3274
428,3274
428,3274
428,2394
429,3876
429,3876
430,1252
430,1252
431,857
431,857
431,857
431,2612
431,2612
431,898
431,898
431,898
432,814
432,814
432,3365
432,3365
432,3365
432,650
432,650
432,2076
432,2076
433,1063
433,1063
433,389
433,4011
434,2122
434,2122
435,1379
436,364
436,364
436,2518
436,2518
436,2518
436,1047
436,1047
436,1047
437,3635
437,3635
437,3635
437,870
437,1838
437,1838
437,3690
437,3690
437,3690
437,1061
437,1061
437,1061
438,2554
438,2554
439,3817
439,3817
439,3817
439,3344
439,3344
439,3344
439,388
439,388
439,388
439,3627
440,27
440,3811
440,3811
440,1339
440,1339
441,1020
441,1020
441,1020
441,2553
441,3470
441,3470
441,3470
441,4008
441,4008
441,4008
441,2014
441,2014
442,1338
442,1338
442,1338
442,2185
442,2185
442,3172
442,763
442,763
443,10
443,3007
443,3007
443,3007
443,902
443,902
444,1914
444,3752
444,2981
444,2981
444,753
444,3389
445,1545
445,1026
445,244
445,1672
445,1672
445,2269
446,2161
446,1509
446,843
446,843
446,3120
447,2900
447,2900
448,1711
449,407
449,407
449,407
449,316
449,316
449,316
449,60
449,3370
449,3370
449,3370
449,1962
449,1962
450,3068
450,2667
450,2893
450,2893
450,2893
451,1895
451,1895
451,1895
451,1766
451,1766
451,1988
451,1988
451,1988
451,903
451,903
451,207
452,2942
452,2942
452,2942
452,402
452,402
452,402
453,3746
453,396
453,396
453,396
453,1881
453,1881
453,1169
453,1169
454,2966
454,2966
455,3522
455,3522
456,3354
456,3354
456,1872
456,1872
456,44
456,761
456,761
457,3211
457,3211
457,3851
457,3851
457,3622
458,3689
458,3689
458,3689
458,71
458,1308
458,1308
458,1308
458,508
458,508
458,508
459,3421
459,3421
459,3421
459,1437
459,3754
459,3754
459,3754
459,1378
459,1378
459,1378
459,1809
459,1809
459,1809
460,1310
460,1310
460,1310
460,670
460,670
460,670
460,3112
460,3112
461,308
461,2923
461,2923
461,2098
461,3529
461,3529
461,3529
461,1042
461,1042
461,1042
462,3704
462,1173
462,1173
462,1173
462,2870
462,2870
463,3004
463,3004
463,3004
464,1445
464,1445
465,287
466,1285
466,1285
467,277
467,277
468,3305
468,3305
468,3305
468,3584
468,2855
468,2855
468,1159
468,1159
468,3134
468,3134
468,3134
469,3113
469,3113
469,3113
469,1271
469,1271
469,3823
469,3823
470,1906
470,1906
470,1906
470,348
470,842
470,2750
470,2750
471,2327
472,2852
472,3288
472,484
472,3090
472,3090
472,3090
472,1000
472,1000
472,1000
473,1131
473,1131
473,1131
474,2331
474,2331
474,1641
475,1512
476,3353
476,3353
476,3353
476,1726
476,2920
476,2920
476,2920
477,1396
478,1479
478,1479
478,1479
478,1797
478,2721
478,2721
478,629
478,629
478,629
479,282
480,99
481,476
481,476
481,1996
482,804
482,804
482,804
482,3183
482,3183
483,3118
483,3573
483,3573
483,3573
483,2777
483,2777
483,2777
483,883
483,883
483,883
483,1059
484,2539
484,2539
484,2539
484,77
484,77
484,2544
484,2544
484,2544
485,2095
485,2095
485,857
485,1192
485,1192
485,1192
485,2528
485,2528
485,2090
485,2090
486,1352
