ID,Name,Price,"Quantity on Hand"
256,"Green-blue Nightstand",$81.99,94
257,"Pacific blue Ottoman",$92.99,234
258,"Spring Frost Stool",$54.99,220
259,"Russian violet Reclining Loveseat","$1,023.99",227
260,"Paradise pink Stool",$54.99,61
261,"USAFA blue Dining Chair",$89.99,189
262,"Steel Teal Dining Table",$800,141
263,"Sap green Bed",$389.99,90
264,"Tea green Headboard",$222.99,230
265,"Mikado yellow Dining Table",$800,109
266,"Neon Carrot Futon",$419.99,246
267,"Jungle green Bed",$389.99,183
268,"Earth yellow Sofa",$1249.99,193
269,"Tuscan red End Table",$99.99,28
270,"Neon Carrot Coffee Table",$222.95,193
271,"Baby pink Stool",$54.99,185
272,"Metallic Sunburst Dresser",$599.99,100
273,"Queen pink Sofa",$1249.99,53
274,"Trypan Blue Wardrobe",$719.99,248
275,"Shadow blue Crib",$289,108
276,"Celadon green Stool",$54.99,139
277,"Amethyst Ottoman",$92.99,99
278,"Burnt orange Headboard",$222.99,228
279,"Dark purple Dresser",$599.99,211
280,"Languid lavender Loveseat",$669.99,223
281,"Kelly green Wardrobe",$719.99,224
282,"Green-cyan Crib",$289,182
283,"Wine red Wardrobe",$719.99,78
284,"Unmellow yellow Dresser",$599.99,142
285,"Nickel Storage Bench",$194.99,88
286,"Sepia Daybed",$711.99,239
287,"Sunglow Wardrobe",$719.99,62
288,"Cameo pink Nightstand",$81.99,144
289,"Vanilla ice Loveseat",$669.99,81
290,"Platinum Chaise Lounge",$235.99,172
291,"Cadmium yellow Dining Table",$800,136
292,"Dark pastel green Ottoman",$92.99,123
293,"UA blue Nightstand",$81.99,52
294,"Red-purple Storage Bench",$194.99,205
295,"Raw umber Sofa",$1249.99,247
296,"Ultramarine Daybed",$711.99,97
297,"Baby blue Loveseat",$669.99,156
298,"Golden brown Futon",$419.99,228
299,"Rose Pompadour Headboard",$222.99,145
300,"Persian pink Storage Bench",$194.99,35
301,"Denim Plant Stand",$42.99,91
302,"Peach Futon",$419.99,155
303,"Green Lizard Crib",$289,157
304,"Blanched almond Loveseat",$669.99,74
305,"Cosmic latte Sleeper Sofa","$1,279.99",250
306,"Tea green Sleeper Sofa","$1,279.99",247
307,"Old lace Bench",$114.99,232
308,"Champagne pink Plant Stand",$42.99,48
309,"Cadmium red Loveseat",$669.99,180
310,"Sand dune Bench",$114.99,60
311,"Sienna Reclining Loveseat","$1,023.99",199
312,"Silver sand Ottoman",$92.99,136
313,"Congo pink Plant Stand",$42.99,62
314,"Tea rose Bed",$389.99,241
315,"Naples yellow Headboard",$222.99,224
316,"Tiffany Blue Nightstand",$81.99,94
317,"Silver chalice Ottoman",$92.99,97
318,"Heliotrope Wardrobe",$719.99,33
319,"Paris Green Daybed",$711.99,63
320,"Ash gray Crib",$289,77
321,"Pale cerulean Sofa",$1249.99,115
322,"Amethyst Headboard",$222.99,151
323,"Rose Chaise Lounge",$235.99,209
324,"Syracuse Orange Bed",$389.99,76
325,"Smoky black Ottoman",$92.99,28
326,"Lavender gray Reclining Loveseat","$1,023.99",98
327,"Middle green Dresser",$599.99,240
328,"Lava Stool",$54.99,25
329,"Purple Sleeper Sofa","$1,279.99",160
330,"Electric green Reclining Loveseat","$1,023.99",167
331,"Chinese violet Wardrobe",$719.99,59
332,"Navajo white Dining Chair",$89.99,174
333,"Brandy Dining Table",$800,99
334,"Amazon green Loveseat",$669.99,84
335,"Steel pink Storage Bench",$194.99,227
336,"Redwood Reclining Sofa","$1,119.99",81
337,"Lemon meringue Futon",$419.99,222
338,"Russet brown Bed",$389.99,134
339,"Dark orange Futon",$419.99,190
340,"Light slate gray Sectional","$1,039.99",113
341,"Celadon green Reclining Sofa","$1,119.99",36
342,"KSU purple Sofa",$1249.99,61
343,"Fire engine red Nightstand",$81.99,96
344,"International orange Storage Bench",$194.99,81
345,"Dark khaki Stool",$54.99,53
346,"Quick Silver Plant Stand",$42.99,196
347,"India green Stool",$54.99,192
348,"Russian green Nightstand",$81.99,94
349,"Mantis green Loveseat",$669.99,227
350,"Orange peel Bed",$389.99,55
351,"Light cornflower blue Ottoman",$92.99,72
352,"Violet-red Chaise Lounge",$235.99,232
353,"English green Sofa",$1249.99,97
354,"Steel Teal Sleeper Sofa","$1,279.99",221
355,"Yellow Sunshine Coffee Table",$222.95,249
356,"Saffron Wardrobe",$719.99,98
357,"Wheat gold Futon",$419.99,229
358,"Mango Tango Ottoman",$92.99,53
359,"Ultra red End Table",$99.99,81
360,"Purple Plum Coffee Table",$222.95,157
361,"Rust Sleeper Sofa","$1,279.99",120
362,"Rose taupe Headboard",$222.99,68
363,"Spanish viridian Storage Bench",$194.99,236
364,"Satin sheen gold Sectional","$1,039.99",73
365,"Fandango pink Sectional","$1,039.99",211
366,"French beige Plant Stand",$42.99,133
367,"Tart Orange Ottoman",$92.99,34
368,"Lime Coffee Table",$222.95,187
369,"Light sea green Plant Stand",$42.99,84
370,"New York pink Sleeper Sofa","$1,279.99",105
371,"Pansy purple Sofa",$1249.99,193
372,"Safety yellow Stool",$54.99,81
373,"KSU purple Headboard",$222.99,105
374,"University of Pennsylvania red Sofa",$1249.99,113
375,"Ash gray Loveseat",$669.99,75
376,"Cedar Chest Chaise Lounge",$235.99,81
377,"Baby powder blue Daybed",$711.99,68
378,"Blizzard blue Loveseat",$669.99,241
379,"Vivid burgundy Stool",$54.99,171
380,"Electric violet Dresser",$599.99,160
381,"Manatee grey Storage Bench",$194.99,81
382,"Marigold Storage Bench",$194.99,67
383,"Nadeshiko pink Futon",$419.99,121
384,"Blue-green Coffee Table",$222.95,235
385,"Baker-Miller pink Reclining Loveseat","$1,023.99",240
386,"Mandarin Coffee Table",$222.95,223
387,"Quick Silver Dresser",$599.99,208
388,"Aqua End Table",$99.99,86
389,"Dutch white Sofa",$1249.99,126
390,"Light coral Crib",$289,245
391,"Deep taupe Dresser",$599.99,25
392,"Light orange Bench",$114.99,146
393,"Psychedelic purple Daybed",$711.99,189
394,"Puce Dining Table",$800,81
395,"KSU purple Dining Chair",$89.99,172
396,"Fuzzy Wuzzy brown Dining Chair",$89.99,89
397,"June bud Futon",$419.99,70
398,"Parchment Wardrobe",$719.99,208
399,"Syracuse Orange Bed",$389.99,34
400,"Mellow apricot Headboard",$222.99,193
401,"Snow white Reclining Sofa","$1,119.99",237
402,"Coral pink Reclining Loveseat","$1,023.99",120
403,"Brown sugar Ottoman",$92.99,94
404,"Coral pink Reclining Loveseat","$1,023.99",159
405,"Maya blue Stool",$54.99,103
406,"Copper red Headboard",$222.99,69
407,"Rose ebony Sectional","$1,039.99",241
408,"Earth yellow Chaise Lounge",$235.99,85
409,"Blaze orange Daybed",$711.99,195
410,"Firebrick Reclining Sofa","$1,119.99",250
411,"Saffron Reclining Loveseat","$1,023.99",49
412,"Medium aquamarine Ottoman",$92.99,238
413,"Chocolate Ottoman",$92.99,230
414,"Maroon End Table",$99.99,36
415,"Sizzling Red Dining Table",$800,49
416,"Coral Crib",$289,122
417,"Dark sienna Futon",$419.99,106
418,"Persian blue Crib",$289,164
419,"Yellow Sunshine Dining Chair",$89.99,68
420,"Redwood Dining Chair",$89.99,26
421,"Parchment Bench",$114.99,165
422,"Fandango pink Reclining Sofa","$1,119.99",92
423,"Medium carmine End Table",$99.99,190
424,"Fuzzy Wuzzy brown Reclining Loveseat","$1,023.99",196
425,"Antique bronze Ottoman",$92.99,176
426,"Dark orange Wardrobe",$719.99,108
427,"Twilight lavender Stool",$54.99,81
428,"Steel pink Reclining Sofa","$1,119.99",175
429,"Sheen green Wardrobe",$719.99,207
430,"Burgundy Futon",$419.99,59
431,"Spanish green Reclining Sofa","$1,119.99",197
432,"Ruby Loveseat",$669.99,130
433,"Lavender blue Stool",$54.99,107
434,"New York pink Dresser",$599.99,34
435,"Sandy brown Sectional","$1,039.99",128
436,"International orange Dresser",$599.99,86
437,"Coffee Reclining Sofa","$1,119.99",110
438,"Thistle grey Chaise Lounge",$235.99,43
439,"Maximum blue green Bench",$114.99,39
440,"Navy blue Ottoman",$92.99,248
441,"Salmon pink Stool",$54.99,250
442,"Mint Ottoman",$92.99,154
443,"Maroon Reclining Loveseat","$1,023.99",115
444,"Cedar Chest Stool",$54.99,55
445,"Cyber yellow Dining Chair",$89.99,194
446,"Pale silver Chaise Lounge",$235.99,148
447,"United Nations blue Chaise Lounge",$235.99,37
448,"Bronze Storage Bench",$194.99,106
449,"Snow white Reclining Sofa","$1,119.99",49
450,"Teal Sofa",$1249.99,211
451,"Dodger blue Sectional","$1,039.99",109
452,"Prussian blue Reclining Loveseat","$1,023.99",96
453,"Thistle grey Nightstand",$81.99,112
454,"Violet-red Bed",$389.99,225
455,"Lavender blush Crib",$289,192
456,"Imperial red End Table",$99.99,87
457,"Denim Stool",$54.99,84
458,"Big dip o’ruby Bed",$389.99,219
459,"Cyber yellow Coffee Table",$222.95,172
460,"Malachite green Sleeper Sofa","$1,279.99",202
461,"Dark electric blue Bench",$114.99,45
462,"Deep saffron Coffee Table",$222.95,91
463,"Pacific blue Dresser",$599.99,139
464,"Amaranth purple Loveseat",$669.99,65
465,"Ruby Sectional","$1,039.99",236
466,"French raspberry Crib",$289,89
467,"Dark sienna Futon",$419.99,212
468,"Polished Pine Sectional","$1,039.99",147
469,"Violet Nightstand",$81.99,32
470,"Queen pink Bench",$114.99,214
471,"Light pink Sleeper Sofa","$1,279.99",112
472,"Unbleached silk Wardrobe",$719.99,248
473,"Livid blue Headboard",$222.99,194
474,"Rose taupe End Table",$99.99,135
475,"True Blue Futon",$419.99,215
476,"Cyber yellow Plant Stand",$42.99,129
477,"Rifle green Daybed",$711.99,101
478,"Pink lace End Table",$99.99,228
479,"Silver sand Bed",$389.99,166
480,"Middle purple Headboard",$222.99,185
481,"Granite gray Plant Stand",$42.99,48
482,"Magenta haze Sleeper Sofa","$1,279.99",152
483,"Bitter lime End Table",$99.99,167
484,"OU Crimson red Dining Chair",$89.99,46
485,"Dark red Chaise Lounge",$235.99,196
486,"Blue-green Storage Bench",$194.99,210
487,"French bistre Crib",$289,127
488,"Thulian pink Bench",$114.99,110
489,"Cedar Chest Dining Table",$800,28
490,"Lime Stool",$54.99,120
491,"Bright navy blue Coffee Table",$222.95,192
492,"Violet-red Coffee Table",$222.95,214
493,"Orchid Sleeper Sofa","$1,279.99",214
494,"Mauve Reclining Sofa","$1,119.99",188
495,"Dark olive green Dining Chair",$89.99,230
496,"Saffron Chaise Lounge",$235.99,221
497,"Cotton candy Coffee Table",$222.95,139
498,"Magic mint Nightstand",$81.99,38
499,"Hot pink Plant Stand",$42.99,57
500,"Celtic blue Reclining Loveseat","$1,023.99",181
501,"Light periwinkle Bench",$114.99,235
502,"UA blue Dining Chair",$89.99,119
503,"Sapphire Headboard",$222.99,45
504,"Light blue Bed",$389.99,56
505,"Midnight green Coffee Table",$222.95,164
506,"Magic mint Daybed",$711.99,54
507,"Bluetiful Nightstand",$81.99,161
508,"French lilac End Table",$99.99,177
509,"Rusty red Stool",$54.99,175
510,"Electric violet Plant Stand",$42.99,211
511,"Sea green Sectional","$1,039.99",106
512,"Paolo Veronese green Chaise Lounge",$235.99,142
513,"Indian red Sectional","$1,039.99",82
514,"Maize Loveseat",$669.99,171
515,"Falu red Dining Table",$800,47
516,"Pictorial carmine Storage Bench",$194.99,124
517,"Cerulean Nightstand",$81.99,36
518,"Brilliant rose Loveseat",$669.99,26
519,"Cosmic cobalt Coffee Table",$222.95,130
520,"Vivid burgundy Nightstand",$81.99,76
521,"Cadmium red Headboard",$222.99,125
522,"Russian green Ottoman",$92.99,208
523,"Eggplant Nightstand",$81.99,168
524,"Rose taupe Crib",$289,56
525,"Cerulean blue Daybed",$711.99,90
526,"Old lavender Reclining Loveseat","$1,023.99",239
527,"B'dazzled blue Stool",$54.99,111
528,"Mauvelous Plant Stand",$42.99,72
529,"Magic mint Wardrobe",$719.99,235
530,"Rose Pompadour Wardrobe",$719.99,190
531,"Denim Chaise Lounge",$235.99,219
532,"Strawberry Dresser",$599.99,71
533,"Eggshell Daybed",$711.99,108
534,"Carolina blue Reclining Sofa","$1,119.99",123
535,"Spring green Plant Stand",$42.99,130
536,"Jet Wardrobe",$719.99,66
537,"Burnt umber Wardrobe",$719.99,123
538,"Onyx Storage Bench",$194.99,122
539,"Indigo End Table",$99.99,216
540,"Lion gold Headboard",$222.99,159
541,"Green-cyan Futon",$419.99,204
542,"Hot magenta Nightstand",$81.99,156
543,"Bitter lime Headboard",$222.99,171
544,"Tickle Me Pink End Table",$99.99,26
545,"Turquoise blue Sleeper Sofa","$1,279.99",75
546,"Maximum yellow red Sectional","$1,039.99",147
547,"Thulian pink Bed",$389.99,162
548,"Medium blue Coffee Table",$222.95,240
549,"Neon green Daybed",$711.99,43
550,"Eggshell Wardrobe",$719.99,196
551,"Antique bronze Wardrobe",$719.99,66
552,"Android green Stool",$54.99,165
553,"Orange soda Reclining Sofa","$1,119.99",183
554,"Dark khaki Crib",$289,204
555,"Light coral Sectional","$1,039.99",142
556,"Windsor tan Futon",$419.99,196
557,"Hansa yellow Loveseat",$669.99,135
558,"Fern green Futon",$419.99,191
559,"Amazon green Reclining Sofa","$1,119.99",179
560,"Dark red Daybed",$711.99,25
561,"Cameo pink Dining Table",$800,131
562,"Blue-gray Plant Stand",$42.99,122
563,"Platinum End Table",$99.99,184
564,"Red-orange Coffee Table",$222.95,83
565,"Middle yellow Storage Bench",$194.99,221
566,"Tawny Crib",$289,123
567,"Rufous Wardrobe",$719.99,170
568,"Brown sugar Reclining Loveseat","$1,023.99",149
569,"Sand Sectional","$1,039.99",149
570,"Morning blue End Table",$99.99,26
571,"Laser lemon Headboard",$222.99,119
572,"Timberwolf grey Dresser",$599.99,86
573,"Indian yellow Reclining Sofa","$1,119.99",212
574,"Rosy brown Ottoman",$92.99,161
575,"Quinacridone magenta Sofa",$1249.99,148
576,"Baby powder blue Wardrobe",$719.99,56
577,"Khaki Sofa",$1249.99,104
578,"Bittersweet shimmer Chaise Lounge",$235.99,187
579,"Sheen green Bed",$389.99,223
580,"Sonic silver Stool",$54.99,88
581,"Firebrick Dining Table",$800,192
582,"Old burgundy Wardrobe",$719.99,88
583,"Wild Strawberry Reclining Loveseat","$1,023.99",95
584,"Paradise pink Wardrobe",$719.99,157
585,"Black Chaise Lounge",$235.99,58
586,"Mahogany Headboard",$222.99,81
587,"University of Pennsylvania red Dining Chair",$89.99,146
588,"Straw Futon",$419.99,150
589,"Mantis green Loveseat",$669.99,146
590,"Metallic Sunburst Ottoman",$92.99,54
591,"Lemon glacier Sleeper Sofa","$1,279.99",69
592,"Egyptian blue Nightstand",$81.99,57
593,"Dark slate blue Futon",$419.99,206
594,"Magenta Storage Bench",$194.99,167
595,"Fuzzy Wuzzy brown Stool",$54.99,161
596,"Big dip o’ruby Daybed",$711.99,126
597,"Wine dregs maroon Crib",$289,176
598,"Tangerine Bench",$114.99,68
599,"Fawn Reclining Loveseat","$1,023.99",164
600,"Spring Frost Headboard",$222.99,135
601,"Sizzling Red Reclining Sofa","$1,119.99",210
602,"Violet Chaise Lounge",$235.99,236
603,"Manatee grey Dining Chair",$89.99,176
604,"Steel Teal Dining Table",$800,223
605,"Fire opal Wardrobe",$719.99,139
606,"Light coral Sectional","$1,039.99",207
607,"Cream Chaise Lounge",$235.99,176
608,"Sandy brown Coffee Table",$222.95,132
609,"Sand Sofa",$1249.99,212
610,"Ivory Sleeper Sofa","$1,279.99",183
611,"Field drab Chaise Lounge",$235.99,159
612,"Old silver Dining Table",$800,148
613,"Orchid pink Sleeper Sofa","$1,279.99",118
614,"Persian pink End Table",$99.99,226
615,"Bleu de France Loveseat",$669.99,57
616,"Cool grey Headboard",$222.99,206
617,"Parchment Futon",$419.99,45
618,"Bittersweet shimmer Chaise Lounge",$235.99,193
619,"Middle green Dresser",$599.99,83
620,"Rose Pompadour Bed",$389.99,177
621,"Maximum purple Plant Stand",$42.99,156
622,"Neon Carrot Headboard",$222.99,140
623,"Sizzling Sunrise yellow Plant Stand",$42.99,228
624,"Lavender Nightstand",$81.99,143
625,"Violet Daybed",$711.99,228
626,"Cornell red Bench",$114.99,127
627,"Spanish pink Bed",$389.99,175
628,"Ivory Crib",$289,38
629,"Wood brown Daybed",$711.99,44
630,"Thistle grey Stool",$54.99,128
631,"Amaranth red Plant Stand",$42.99,194
632,"Sapphire Sofa",$1249.99,54
633,"Raspberry glace Sofa",$1249.99,107
634,"Cyan Plant Stand",$42.99,194
635,"Windsor tan Coffee Table",$222.95,79
636,"Spanish violet Dining Chair",$89.99,68
637,"Neon fuchsia Reclining Loveseat","$1,023.99",46
638,"Dim gray Reclining Loveseat","$1,023.99",78
639,"Mauvelous Sleeper Sofa","$1,279.99",40
640,"Dark spring green Dining Table",$800,226
641,"Chestnut Bed",$389.99,242
